,poches,score
0,3ECG_pocket2_atm.pdb;2HPF_pocket6_atm.pdb,0.0
1,1HSI_pocket0_atm.pdb;4UPJ_pocket7_atm.pdb,0.0
2,2MIP_pocket1_atm.pdb;1HII_pocket2_atm.pdb,0.0
3,3EC0_pocket3_atm.pdb;2HPE_pocket0_atm.pdb,0.1023
4,2HPE_pocket9_atm.pdb;3ECG_pocket1_atm.pdb,0.0
5,1IDA_pocket5_atm.pdb;1IDB_pocket4_atm.pdb,0.0
6,1HSI_pocket7_atm.pdb;3EBZ_pocket11_atm.pdb,0.0
7,1IDA_pocket6_atm.pdb;3EC0_pocket8_atm.pdb,0.0
8,3UPJ_pocket3_atm.pdb;2HPF_pocket7_atm.pdb,0.0
9,3UPJ_pocket6_atm.pdb;1JLD_pocket5_atm.pdb,0.0
10,2HPE_pocket6_atm.pdb;1HSH_pocket1_atm.pdb,0.0
11,3ECG_pocket1_atm.pdb;3ECG_pocket6_atm.pdb,0.0
12,3EBZ_pocket2_atm.pdb;2MIP_pocket4_atm.pdb,0.0
13,3EC0_pocket8_atm.pdb;2HPF_pocket1_atm.pdb,0.2388
14,3ECG_pocket4_atm.pdb;1HII_pocket3_atm.pdb,0.0
15,1IVP_pocket7_atm.pdb;2HPF_pocket7_atm.pdb,0.0
16,1HII_pocket3_atm.pdb;1IVP_pocket8_atm.pdb,0.0
17,2MIP_pocket1_atm.pdb;3EBZ_pocket4_atm.pdb,0.0
18,2HPE_pocket6_atm.pdb;2HPF_pocket6_atm.pdb,0.0
19,1HII_pocket7_atm.pdb;1IDA_pocket3_atm.pdb,0.0
20,3ECG_pocket2_atm.pdb;5UPJ_pocket3_atm.pdb,0.0
21,3S45_pocket3_atm.pdb;3EC0_pocket1_atm.pdb,0.0
22,1IVP_pocket11_atm.pdb;5UPJ_pocket4_atm.pdb,0.069
23,1IVP_pocket10_atm.pdb;3EC0_pocket4_atm.pdb,0.0
24,1IVQ_pocket2_atm.pdb;3S45_pocket11_atm.pdb,0.0
25,3S45_pocket1_atm.pdb;1IDB_pocket7_atm.pdb,0.0
26,3S45_pocket11_atm.pdb;1HSI_pocket6_atm.pdb,0.0
27,1IDA_pocket5_atm.pdb;1IDA_pocket0_atm.pdb,0.0
28,1IDB_pocket9_atm.pdb;1JLD_pocket0_atm.pdb,0.0179
29,3S45_pocket9_atm.pdb;1IVQ_pocket0_atm.pdb,0.0
